In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Unknown. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Read. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Read, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Read, Take_something_off_table, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Read, Take_something_off_table, Drink.From_cup, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Get_up, Leave, Enter, Sit_down, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Leave, Enter, Sit_down, Take_something_off_table, Use_glasses. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Enter, Sit_down, Take_something_off_table, Use_glasses, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Sit_down, Take_something_off_table, Use_glasses, Take_something_off_table, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Take_something_off_table, Use_glasses, Take_something_off_table, Drink.From_cup, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Use_glasses, Take_something_off_table, Drink.From_cup, Put_something_on_table, Read. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Take_something_off_table, Drink.From_cup, Put_something_on_table, Read, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Drink.From_cup, Put_something_on_table, Read, Take_something_off_table, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Read, Take_something_off_table, Drink.From_cup, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Read, Take_something_off_table, Drink.From_cup, Put_something_on_table, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Take_something_off_table, Drink.From_cup, Put_something_on_table, Take_something_off_table, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Drink.From_cup, Put_something_on_table, Take_something_off_table, Drink.From_cup, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Take_something_off_table, Drink.From_cup, Put_something_on_table, Use_glasses. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Take_something_off_table, Drink.From_cup, Put_something_on_table, Use_glasses, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Drink.From_cup, Put_something_on_table, Use_glasses, Put_something_on_table, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Use_glasses, Put_something_on_table, Take_something_off_table, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Use_glasses, Put_something_on_table, Take_something_off_table, Drink.From_cup, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Take_something_off_table, Drink.From_cup, Put_something_on_table, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Take_something_off_table, Drink.From_cup, Put_something_on_table, Take_something_off_table, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Drink.From_cup, Put_something_on_table, Take_something_off_table, Drink.From_cup, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Take_something_off_table, Drink.From_cup, Put_something_on_table, Get_up. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Take_something_off_table, Drink.From_cup, Put_something_on_table, Get_up, Use_telephone. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Drink.From_cup, Put_something_on_table, Get_up, Use_telephone, Use_telephone. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Get_up, Use_telephone, Use_telephone, Sit_down. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Get_up, Use_telephone, Use_telephone, Sit_down, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Use_telephone, Use_telephone, Sit_down, Take_something_off_table, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Use_telephone, Sit_down, Take_something_off_table, Drink.From_cup, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Sit_down, Take_something_off_table, Drink.From_cup, Drink.From_cup, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Take_something_off_table, Drink.From_cup, Drink.From_cup, Drink.From_cup, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Drink.From_cup, Drink.From_cup, Drink.From_cup, Drink.From_cup, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Drink.From_cup, Drink.From_cup, Drink.From_cup, Put_something_on_table, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Drink.From_cup, Drink.From_cup, Put_something_on_table, Take_something_off_table, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Drink.From_cup, Put_something_on_table, Take_something_off_table, Drink.From_cup, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Take_something_off_table, Drink.From_cup, Drink.From_cup, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Take_something_off_table, Drink.From_cup, Drink.From_cup, Put_something_on_table, Get_up. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Drink.From_cup, Drink.From_cup, Put_something_on_table, Get_up, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Drink.From_cup, Put_something_on_table, Get_up, Put_something_on_table, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Get_up, Put_something_on_table, Take_something_off_table, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Get_up, Put_something_on_table, Take_something_off_table, Take_something_off_table, Use_glasses. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Take_something_off_table, Take_something_off_table, Use_glasses, Sit_down. The person is now performing a different action.
