In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Unknown. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Use_cupboard. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Use_cupboard, Use_fridge. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Use_cupboard, Use_fridge, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Use_cupboard, Use_fridge, Walk, Use_Drawer. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Walk, Walk, Cook.Stir, Eat_snack, Clean_dishes.Clean_with_water. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Walk, Cook.Stir, Eat_snack, Clean_dishes.Clean_with_water, Clean_dishes. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook.Stir, Eat_snack, Clean_dishes.Clean_with_water, Clean_dishes, Clean_dishes.Dry_up. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Eat_snack, Clean_dishes.Clean_with_water, Clean_dishes, Clean_dishes.Dry_up, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Clean_dishes.Clean_with_water, Clean_dishes, Clean_dishes.Dry_up, Put_something_on_table, Clean_dishes.Dry_up. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Clean_dishes, Clean_dishes.Dry_up, Put_something_on_table, Clean_dishes.Dry_up, Cook.Stir. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Clean_dishes.Dry_up, Put_something_on_table, Clean_dishes.Dry_up, Cook.Stir, Eat_snack. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Put_something_on_table, Clean_dishes.Dry_up, Cook.Stir, Eat_snack, Cook.Stir. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Clean_dishes.Dry_up, Cook.Stir, Eat_snack, Cook.Stir, Cook.Use_oven. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook.Stir, Eat_snack, Cook.Stir, Cook.Use_oven, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Eat_snack, Cook.Stir, Cook.Use_oven, Take_something_off_table, Use_Drawer. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook.Stir, Cook.Use_oven, Take_something_off_table, Use_Drawer, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook.Use_oven, Take_something_off_table, Use_Drawer, Take_something_off_table, Use_cupboard. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Take_something_off_table, Use_Drawer, Take_something_off_table, Use_cupboard, Cook.Stir. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Use_Drawer, Take_something_off_table, Use_cupboard, Cook.Stir, Eat_snack. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Take_something_off_table, Use_cupboard, Cook.Stir, Eat_snack, Cook.Stir. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Use_cupboard, Cook.Stir, Eat_snack, Cook.Stir, Wipe_table. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook.Stir, Eat_snack, Cook.Stir, Wipe_table, Cook.Stir. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Eat_snack, Cook.Stir, Wipe_table, Cook.Stir, Eat_snack. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook.Stir, Wipe_table, Cook.Stir, Eat_snack, Cook.Stir. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Wipe_table, Cook.Stir, Eat_snack, Cook.Stir, Dump_in_trash. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook.Stir, Eat_snack, Cook.Stir, Dump_in_trash, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Eat_snack, Cook.Stir, Dump_in_trash, Walk, Cook.Stir. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook.Stir, Dump_in_trash, Walk, Cook.Stir, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Dump_in_trash, Walk, Cook.Stir, Walk, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Walk, Cook.Stir, Walk, Walk, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook.Stir, Walk, Walk, Walk, Cook.Stir. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Walk, Walk, Walk, Cook.Stir, Eat_snack. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Walk, Walk, Cook.Stir, Eat_snack, Cook.Stir. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Walk, Cook.Stir, Eat_snack, Cook.Stir, Eat_snack. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook.Stir, Eat_snack, Cook.Stir, Eat_snack, Cook.Stir. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Eat_snack, Cook.Stir, Eat_snack, Cook.Stir, Cook.Use_oven. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook.Stir, Eat_snack, Cook.Stir, Cook.Use_oven, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Eat_snack, Cook.Stir, Cook.Use_oven, Walk, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook.Stir, Cook.Use_oven, Walk, Walk, Cook.Stir. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook.Use_oven, Walk, Walk, Cook.Stir, Sit_down. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Walk, Walk, Cook.Stir, Sit_down, Get_up. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Walk, Cook.Stir, Sit_down, Get_up, Use_fridge. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook.Stir, Sit_down, Get_up, Use_fridge, Eat_snack. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Sit_down, Get_up, Use_fridge, Eat_snack, Cook.Stir. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Get_up, Use_fridge, Eat_snack, Cook.Stir, Sit_down. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Use_fridge, Eat_snack, Cook.Stir, Sit_down, Eat_snack. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Eat_snack, Cook.Stir, Sit_down, Eat_snack, Eat_snack. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook.Stir, Sit_down, Eat_snack, Eat_snack, Eat_snack. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Sit_down, Eat_snack, Eat_snack, Eat_snack, Eat_snack. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Eat_snack, Eat_snack, Eat_snack, Eat_snack, Eat_snack. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Eat_snack, Eat_snack, Eat_snack, Eat_snack, Get_up. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Eat_snack, Eat_snack, Eat_snack, Get_up, Dump_in_trash. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Eat_snack, Eat_snack, Get_up, Dump_in_trash, Cook.Stir. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Eat_snack, Get_up, Dump_in_trash, Cook.Stir, Sit_down. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Get_up, Dump_in_trash, Cook.Stir, Sit_down, Get_up. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Dump_in_trash, Cook.Stir, Sit_down, Get_up, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook.Stir, Sit_down, Get_up, Walk, Dump_in_trash. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Sit_down, Get_up, Walk, Dump_in_trash, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Get_up, Walk, Dump_in_trash, Walk, Cook.Stir. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Walk, Dump_in_trash, Walk, Cook.Stir, Clean_dishes.Put_something_in_sink. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Dump_in_trash, Walk, Cook.Stir, Clean_dishes.Put_something_in_sink, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Walk, Cook.Stir, Clean_dishes.Put_something_in_sink, Take_something_off_table, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook.Stir, Clean_dishes.Put_something_in_sink, Take_something_off_table, Walk, Dump_in_trash. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Clean_dishes.Put_something_in_sink, Take_something_off_table, Walk, Dump_in_trash, Clean_dishes.Put_something_in_sink. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Take_something_off_table, Walk, Dump_in_trash, Clean_dishes.Put_something_in_sink, Dump_in_trash. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Walk, Dump_in_trash, Clean_dishes.Put_something_in_sink, Dump_in_trash, Clean_dishes. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Dump_in_trash, Clean_dishes.Put_something_in_sink, Dump_in_trash, Clean_dishes, Clean_dishes.Clean_with_water. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Clean_dishes.Put_something_in_sink, Dump_in_trash, Clean_dishes, Clean_dishes.Clean_with_water, Clean_dishes.Dry_up. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Dump_in_trash, Clean_dishes, Clean_dishes.Clean_with_water, Clean_dishes.Dry_up, Wipe_table. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Clean_dishes, Clean_dishes.Clean_with_water, Clean_dishes.Dry_up, Wipe_table, Use_Drawer. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Clean_dishes.Clean_with_water, Clean_dishes.Dry_up, Wipe_table, Use_Drawer, Use_Drawer. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Clean_dishes.Dry_up, Wipe_table, Use_Drawer, Use_Drawer, Clean_dishes.Clean_with_water. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Wipe_table, Use_Drawer, Use_Drawer, Clean_dishes.Clean_with_water, Wipe_table. The person is now performing a different action.
